column,uri,entity_alias,FuTRES_Use,type,example,CV,need,neo,zooarch,paleo
maximumDepthInMeters,http://rs.tdwg.org/dwc/terms/maximumDepthInMeters,vertebrateTraitObsProc,The greater depth below the surface in meters (same as minimum if it is a single point value).,numerical,20,,,,x,x
lithostratigraphicTerms,http://rs.tdwg.org/dwc/terms/lithostratigraphicTerms,vertebrateTraitObsProc,The name of the lowest hierarchical geologic stratigraphy for where the specimen was collected.,string,Pliocene-Pleistocene,,,,,x
group,http://rs.tdwg.org/dwc/terms/group,vertebrateTraitObsProc,The name of the lithographic group from which the specimen was collected.,string,Belly River Group,,,,,x
formation,http://rs.tdwg.org/dwc/terms/formation,vertebrateTraitObsProc,The name of the lithographic formation from which the specimen was collected.,string,Judith River Formation,,,,,x
member,http://rs.tdwg.org/dwc/terms/member,vertebrateTraitObsProc,The name of the lithographic member from which the specimen was collected.,string,Dinosaur Park member,,,,,x
bed,http://rs.tdwg.org/dwc/terms/bed,vertebrateTraitObsProc,The name of the lithographic bed from which the specimen was collected.,string,Bonebed 50,,,,,x
culturalOccupationPeriod,urn:culturalOccupationPeriod,vertebrateTraitObsProc,The names (not dates) of the regional and local occupational periods to which these specimens pertain. Use as many names as necessary to fully define the regional and local occupational periods - these can be either temporally or spatio-temporally defined.,string,"Preclassic, Middle Preclassic, Tzakol 3",,,,x,
culturalAffiliations,urn:culturalAffiliations,vertebrateTraitObsProc,The names of the cultural groups with which the occupants of the site would have been affiliated during the occupational period to which these specimens pertain - these are modern names where original culture names are unknown.,string,Aztec,,,,x,
culturalRegions,urn:culturalRegions,vertebrateTraitObsProc,The culturally defined region or regions of which this site was a part during the occupational period to which these specimens pertain - spatially or spatio-temporally defined.,string,Mesoamerica,,,,x,
culturalContext,urn:culturalContext,vertebrateTraitObsProc,The description of the context(s) to which these specimens pertain.,string,midden behind Str 4,,,,x,
references,http://purl.org/dc/terms/references,vertebrateTraitObsProc,A related resource that is referenced or otherwise pointed to by the described resource.,string,DOI or Journal of Vertebrate Paleontology citation format,,suggested,x,x,x
dynamicProperties,http://rs.tdwg.org/dwc/terms/dynamicProperties,vertebrateTraitObsProc,A place for notes related to observation event.,jsons scipt,,,,x,x,x
datasetName,http://rs.tdwg.org/dwc/terms/datasetName,vertebrateOrganism,The name or an URL to archived dataset or contact for person(s) from which the data was derived.,string,,,,x,x,x
informationWithheld,http://rs.tdwg.org/dwc/terms/informationWithheld,vertbrateTraitObsProc,A note that more precise or other information does exist but is not provided.,string,"specific locations withheld to protect endangered species, see collection manager for additional detail",,,x,x,x
occurrenceID,http://rs.tdwg.org/dwc/terms/occurrenceID,vertebrateOrganism,A globally unique identifier that relates to the Occurrence (existence of the organism(s) in a certain place and time).,string,UUID,,,x,x,x
license,http://purl.org/dc/terms/license,vertebrateTraitObsProc,A legal code depicting the type of licensing for useage of data.,string,,,,x,x,x
